id,storeId,category,sub_category,name,brand,quantity,quantity_value,quantity_unit,quantity_items,quantity_total,primaryPrice,primaryPriceUnit,secondaryPrice,secondaryPriceUnit
1,1,Produtos Frescos,Peixaria,porcoes salmao fresco,continente,quant. mínima = 300 gr (2 un),150.0,g,2,300.0,2.99,un,19.93,kg
6,1,Produtos Frescos,Peixaria,bacalhau desfiado meses cura,riberalves,emb. 400 gr,400.0,g,1,400.0,4.89,un,12.22,kg
14,1,Produtos Frescos,Peixaria,posta pescada chile cozer ultracongelada,pescanova,emb. 800 gr,800.0,g,1,800.0,13.99,un,17.49,kg
15,1,Produtos Frescos,Peixaria,miolo camarao,continente,emb. 250 gr,250.0,g,1,250.0,3.29,un,13.16,kg
18,1,Produtos Frescos,Peixaria,salmao fumado noruega,continente seleção,emb. 200 gr,200.0,g,1,200.0,6.99,un,34.95,kg
21,1,Produtos Frescos,Peixaria,bacalhau desfiado demolhado,continente,emb. 500 gr,500.0,g,1,500.0,6.79,un,13.58,kg
24,1,Produtos Frescos,Peixaria,dourada fresca,continente,quant. mínima = 600 gr (1 un),600.0,g,1,600.0,7.99,kg,4.79,un
25,1,Produtos Frescos,Peixaria,filetes pangasius,pescanova,emb. 600 gr,600.0,g,1,600.0,4.49,un,7.48,kg
28,1,Produtos Frescos,Peixaria,dourada fresca,continente,quant. mínima = 700 gr (1 un),700.0,g,1,700.0,8.99,kg,6.29,un
32,1,Produtos Frescos,Peixaria,lombos bacalhau meses cura,riberalves,3 un x 266 gr (800 gr),3.0,un,1,3.0,24.99,un,31.24,kg
33,1,Produtos Frescos,Peixaria,medalhoes pescada cabo ultracongelada,iglo,6 un x 60 gr (360 gr),6.0,un,1,6.0,5.99,un,16.64,kg
39,1,Produtos Frescos,Talho,secretos porco,selecta,emb. 900 gr (aprox.),900.0,g,1,900.0,16.99,kg,15.29,un
41,1,Produtos Frescos,Talho,escalopes peru extrafinos,continente,emb. 860 gr (aprox.),860.0,g,1,860.0,9.69,kg,8.33,un
43,1,Produtos Frescos,Talho,hamburguer carne mista duroc,meat heritage,2 un x 140 gr (280 gr),2.0,un,1,2.0,3.99,un,14.25,kg
44,1,Produtos Frescos,Talho,plumas porco preto congeladas,miguel & miguel,emb. 770 gr (aprox.),770.0,g,1,770.0,12.99,kg,10.0,un
48,1,Produtos Frescos,Talho,bifes frango,continente,emb. 680 gr (aprox.),680.0,g,1,680.0,6.79,kg,4.62,un
52,1,Produtos Frescos,Talho,peito frango,continente,emb. 700 gr (aprox.),700.0,g,1,700.0,6.59,kg,4.61,un
59,1,Produtos Frescos,Talho,preparado carne picada bovino,continente seleção,emb. 400 gr,400.0,g,1,400.0,4.99,un,12.48,kg
60,1,Produtos Frescos,Talho,novilho estufar,continente,emb. 1 kg (aprox.),1000.0,g,1,1000.0,11.99,kg,11.99,un
61,1,Produtos Frescos,Talho,frango,continente,"emb. 1,7 kg (aprox.)",1700.0,g,1,1700.0,2.49,kg,4.23,un
63,1,Produtos Frescos,Talho,jardineira novilho balcao,angus,quant. mínima = 600 gr,600.0,g,1,600.0,12.99,kg,7.79,un
65,1,Produtos Frescos,Talho,hamburguer carne novilho,continente seleção,2 un x 150 gr (300 gr),2.0,un,1,2.0,4.99,un,16.63,kg
78,1,Produtos Frescos,Frutas,clementina,continente,quant. mínima = 450 gr (3 un),150.0,g,3,450.0,2.49,kg,0.37,un
79,1,Produtos Frescos,Frutas,uva branca,continente,emb. 500 gr,500.0,g,1,500.0,2.99,un,5.98,kg
84,1,Produtos Frescos,Frutas,morango,continente,emb. 1 kg,1000.0,g,1,1000.0,5.49,un,5.49,kg
87,1,Produtos Frescos,Frutas,abacate,continente,quant. mínima = 220 gr (1 un),220.0,g,1,220.0,4.49,kg,0.99,un
89,1,Produtos Frescos,Frutas,kiwi,continente,quant. mínima = 480 gr (4 un),120.0,g,4,480.0,3.99,kg,0.48,un
90,1,Produtos Frescos,Frutas,limao,continente,quant. mínima = 400 gr (2 un),200.0,g,2,400.0,2.29,kg,0.46,un
92,1,Produtos Frescos,Frutas,papaia aviao,continente,quant. mínima = 600 gr (1 un),600.0,g,1,600.0,4.59,kg,2.75,un
96,1,Produtos Frescos,Frutas,pera conference,continente,quant. mínima = 750 gr (3 un),250.0,g,3,750.0,2.49,kg,0.62,un
98,1,Produtos Frescos,Frutas,maca golden,continente,quant. mínima = 540 gr (3 un),180.0,g,3,540.0,1.99,kg,0.36,un
100,1,Produtos Frescos,Frutas,miolo amendoa torrada,continente,emb. 200 gr,200.0,g,1,200.0,2.99,un,14.95,kg
105,1,Produtos Frescos,Frutas,laranja desperdicio,continente,emb. 3 kg,3000.0,g,1,3000.0,3.57,un,1.19,kg
109,1,Produtos Frescos,Legumes,curgete verde,continente,quant. mínima = 500 gr (1 un),500.0,g,1,500.0,0.99,kg,0.5,un
110,1,Produtos Frescos,Legumes,cenoura,continente,emb. 1 kg,1000.0,g,1,1000.0,1.09,un,1.09,kg
113,1,Produtos Frescos,Legumes,cebola,continente,"emb. 1,5 kg",1500.0,g,1,1500.0,3.19,un,2.13,kg
118,1,Produtos Frescos,Legumes,pepino,continente,quant. mínima = 300 gr (1 un),300.0,g,1,300.0,1.99,kg,0.6,un
121,1,Produtos Frescos,Legumes,tomate cherry vermelho,continente,emb. 250 gr,250.0,g,1,250.0,1.19,un,4.76,kg
125,1,Produtos Frescos,Legumes,tomate,continente,quant. mínima = 600 gr (2 un),300.0,g,2,600.0,1.39,kg,0.42,un
126,1,Produtos Frescos,Legumes,couve flor,continente,"quant. mínima = 1,1 kg (1 un)",1100.0,g,1,1100.0,1.89,kg,2.08,un
129,1,Produtos Frescos,Legumes,batata vermelha,continente,quant. mínima = 780 gr (3 un),260.0,g,3,780.0,1.59,kg,0.41,un
138,1,Produtos Frescos,Legumes,rucula selvagem,continente,emb. 100 gr,100.0,g,1,100.0,1.09,un,10.9,kg
149,1,Produtos Frescos,Queijos,queijo flamengo,continente,emb. 500 gr,500.0,g,1,500.0,3.99,un,7.98,kg
151,1,Produtos Frescos,Queijos,queijo mini,babybel,12 un x 20 gr (240 gr),12.0,un,1,12.0,4.69,un,19.54,kg
153,1,Produtos Frescos,Queijos,queijo flamengo lactose,terra nostra,2 un x 200 gr (400 gr),2.0,un,1,2.0,4.09,un,10.22,kg
